UT;DI;TI;CR;Freq1AU;FreqTT;DOI_CR;Ref_ID
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Ahuja G, 2001, STRATEGIC MANAGE J, V22, P197, DOI 10.1002/smj.157;2;2;10.1002/smj.157;doi0107
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Ahuja G, 2000, ADMIN SCI QUART, V45, P425, DOI 10.2307/2667105;2;2;10.2307/2667105;doi2274
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Ai CR, 2003, ECON LETT, V80, P123, DOI 10.1016/S0165-1765(03)00032-6;4;4;10.1016/S0165-1765(03)00032-6;doi0937
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Alam I, 2002, J ACAD MARKET SCI, V30, P250, DOI 10.1177/00970302030003006;1;1;10.1177/00970302030003006;doi1807
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Allison PD, 1999, SOCIOL METHOD RES, V28, P186, DOI 10.1177/0049124199028002003;1;1;10.1177/0049124199028002003;doi1795
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;AN, 2019, AUTOMOTIVE NEWS;1;1;;ref0017
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Andersen O, 2001, OMEGA-INT J MANAGE S, V29, P207, DOI 10.1016/S0305-0483(00)00043-8;1;1;10.1016/S0305-0483(00)00043-8;doi0956
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Anderson Erin, 1988, J LAW ECON ORGAN, V4, P305, DOI DOI 10.1093/oxfordjournals.jleo.a036954;1;2;10.1093/oxfordjournals.jleo.a036954;doi1309
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Autry CW, 2010, J OPER MANAG, V28, P87, DOI 10.1016/j.jom.2009.07.003;1;3;10.1016/j.jom.2009.07.003;doi0761
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Autry CW, 2008, J BUS LOGIST, V29, P157, DOI 10.1002/j.2158-1592.2008.tb00073.x;2;3;10.1002/j.2158-1592.2008.tb00073.x;doi0073
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Azadegan A, 2010, J OPER MANAG, V28, P488, DOI 10.1016/j.jom.2010.02.001;1;1;10.1016/j.jom.2010.02.001;doi0765
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Bellamy MA, 2014, J OPER MANAG, V32, P357, DOI 10.1016/j.jom.2014.06.004;4;4;10.1016/j.jom.2014.06.004;doi0787
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Bolino MC, 2002, ACAD MANAGE REV, V27, P505, DOI 10.2307/4134400;1;1;10.2307/4134400;doi2318
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Borgatti S., 2002, UCINET WINDOWS SOFTW;1;3;;ref0058
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Borgatti SP, 2003, MANAGE SCI, V49, P432, DOI 10.1287/mnsc.49.4.432.14428;1;3;10.1287/mnsc.49.4.432.14428;doi1979
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Brown B., 2018, BMWS SELF DRIVING CA;1;1;;ref0068
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Bstieler L, 2006, J PROD INNOVAT MANAG, V23, P56, DOI 10.1111/j.1540-5885.2005.00181.x;1;1;10.1111/j.1540-5885.2005.00181.x;doi1596
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Burt R. S., 2009, STRUCTURAL HOLES SOC;1;3;;ref0076
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;BURT RS, 1987, AM J SOCIOL, V92, P1287, DOI 10.1086/228667;1;3;10.1086/228667;doi1269
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;BURT RS, 1978, SOCIOL METHOD RES, V7, P189, DOI 10.1177/004912417800700205;1;3;10.1177/004912417800700205;doi1793
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Carey S, 2011, J OPER MANAG, V29, P277, DOI 10.1016/j.jom.2010.08.003;1;1;10.1016/j.jom.2010.08.003;doi0766
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Carnovale S, 2015, J SUPPLY CHAIN MANAG, V51, P22, DOI 10.1111/jscm.12075;1;1;10.1111/jscm.12075;doi1694
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Chappell L., 2018, AUTOMOTIVE NEWS;1;1;;ref0084
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Choi T. Y., 1996, J OPERATIONS MANAGEM, V14, P333, DOI DOI 10.1016/S0272-6963(96)00091-5;1;16;10.1016/S0272-6963(96)00091-5;doi0952
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Choi TY, 2008, J SUPPLY CHAIN MANAG, V44, P5, DOI 10.1111/j.1745-493X.2008.00069.x;1;16;10.1111/j.1745-493X.2008.00069.x;doi1648
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Choi TY, 2002, J OPER MANAG, V20, P469, DOI 10.1016/S0272-6963(02)00025-6;2;16;10.1016/S0272-6963(02)00025-6;doi0950
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Cohen J., 2013, APPL MULTIPLE REGRES;2;2;;ref0105
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;COLEMAN JS, 1988, AM J SOCIOL, V94, pS95, DOI 10.1086/228943;1;1;10.1086/228943;doi1270
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Continental AG., 2017, CONTINENTALS INTEGRA;2;2;;ref0108
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Faurecia SA., 2016, FAURECIA WINS AUTOMO;1;1;;ref0161
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Gargiulo M, 2006, HANDBOOK OF TRUST RESEARCH, P165;1;1;;ref0183
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;GRANOVETTER M, 1985, AM J SOCIOL, V91, P481, DOI 10.1086/228311;2;2;10.1086/228311;doi1267
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;GRANOVETTER MS, 1973, AM J SOCIOL, V78, P1360, DOI 10.1086/225469;2;2;10.1086/225469;doi1263
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Gulati R, 2007, ADMIN SCI QUART, V52, P32, DOI 10.2189/asqu.52.1.32;1;1;10.2189/asqu.52.1.32;doi2122
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Hagedoorn J, 2003, RES POLICY, V32, P1365, DOI 10.1016/S0048-7333(02)00137-3;1;1;10.1016/S0048-7333(02)00137-3;doi0926
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Handley SM, 2013, J OPER MANAG, V31, P109, DOI 10.1016/j.jom.2012.12.003;1;1;10.1016/j.jom.2012.12.003;doi0776
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;HECKMAN JJ, 1979, ECONOMETRICA, V47, P153, DOI 10.2307/1912352;3;3;10.2307/1912352;doi2159
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Hippel E. V., 2005, J BETRIEBSWIRTSCHAFT, V55, P63, DOI DOI 10.1007/S11301-004-0002-8;1;1;10.1007/S11301-004-0002-8;doi0366
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Hoetker G, 2005, STRATEGIC MANAGE J, V26, P75, DOI 10.1002/smj.453;1;2;10.1002/smj.453;doi0177
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Hoetker G, 2007, STRATEGIC MANAGE J, V28, P331, DOI 10.1002/smj.582;1;2;10.1002/smj.582;doi0187
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Hofstede G., 1980, INT STUDIES MANAGEME, V10, P15, DOI DOI 10.1080/00208825.1980.11656300;1;1;10.1080/00208825.1980.11656300;doi1148
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Im S, 2004, J MARKETING, V68, P114, DOI 10.1509/jmkg.68.2.114.27788;1;3;10.1509/jmkg.68.2.114.27788;doi2071
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Im S, 2013, J PROD INNOVAT MANAG, V30, P170, DOI 10.1111/j.1540-5885.2012.00887.x;1;3;10.1111/j.1540-5885.2012.00887.x;doi1598
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Jean RJ, 2014, J PROD INNOVAT MANAG, V31, P98, DOI 10.1111/jpim.12082;1;1;10.1111/jpim.12082;doi1681
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Jones GR, 1998, ACAD MANAGE REV, V23, P531, DOI 10.2307/259293;1;1;10.2307/259293;doi2266
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Kedia B.L., 1988, ACAD MANAGE REV, V13, P559, DOI DOI 10.5465/AMR.1988.4307424;1;1;10.5465/AMR.1988.4307424;doi2404
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Kern H., 1998, TRUST ORG, P203;1;1;;ref0278
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Kim DY, 2014, J OPER MANAG, V32, P219, DOI 10.1016/j.jom.2014.03.005;1;10;10.1016/j.jom.2014.03.005;doi0784
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Kim TY, 2006, ACAD MANAGE REV, V31, P704, DOI 10.2307/20159237;1;10;10.2307/20159237;doi2164
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Kim Y, 2018, J MANAGE, V44, P1029, DOI 10.1177/0149206315599214;1;10;10.1177/0149206315599214;doi1838
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Kim Y, 2015, J SUPPLY CHAIN MANAG, V51, P61, DOI 10.1111/jscm.12081;1;10;10.1111/jscm.12081;doi1695
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Kim Y, 2015, INT J OPER PROD MAN, V35, P318, DOI 10.1108/IJOPM-05-2013-0251;1;10;10.1108/IJOPM-05-2013-0251;doi1425
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Kim Y, 2011, J OPER MANAG, V29, P194, DOI 10.1016/j.jom.2010.11.001;2;10;10.1016/j.jom.2010.11.001;doi0768
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;KOGUT B, 1988, J INT BUS STUD, V19, P411, DOI 10.1057/palgrave.jibs.8490394;1;2;10.1057/palgrave.jibs.8490394;doi1079
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;KOGUT B, 1992, ORGAN SCI, V3, P383, DOI 10.1287/orsc.3.3.383;1;2;10.1287/orsc.3.3.383;doi2029
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;"Kogut B, 2000, STRATEGIC MANAGE J, V21, P405, DOI 10.1002/(SICI)1097-0266(200003)21:3<405::AID-SMJ103>3.0.CO;2-5";1;2;"10.1002/(SICI)1097-0266(200003)21:3<405::AID-SMJ103>3.0.CO;2-5";doi0015
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Kotabe M, 2003, STRATEGIC MANAGE J, V24, P293, DOI 10.1002/smj.297;2;2;10.1002/smj.297;doi0159
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;KPMG, 2018, GLOB AUT EX SURV 201;1;1;;ref0291
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Kress G., 1992, AUSTR J ED STUDIES, V12, P127;1;1;;ref0294
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Kull TJ, 2013, J SUPPLY CHAIN MANAG, V49, P64, DOI 10.1111/jscm.12002;5;5;10.1111/jscm.12002;doi1686
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;"Lane PJ, 1998, STRATEGIC MANAGE J, V19, P461, DOI 10.1002/(SICI)1097-0266(199805)19:5<461::AID-SMJ953>3.3.CO;2-C";2;2;"10.1002/(SICI)1097-0266(199805)19:5<461::AID-SMJ953>3.3.CO;2-C";doi0007
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Larsen MM, 2013, STRATEGIC MANAGE J, V34, P533, DOI 10.1002/smj.2023;1;1;10.1002/smj.2023;doi0113
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Lawson B, 2008, J OPER MANAG, V26, P446, DOI 10.1016/j.jom.2007.10.001;4;4;10.1016/j.jom.2007.10.001;doi0754
